"","affect","age","d_ri","d_sm","d_su","d_ue","gender_m","interest","lar","lat","math_conf","points","st_os","st_tm","stat_conf","stat_value","su_lp","su_sb","su_ti","su_um"
"124",3.5,20,2.75,3,3,2.5,FALSE,4,1.66666666666667,1.33333333333333,3,24,3,2,4,3,3.25,4,4.25,3.25
"125",2.5,21,3.5,3,3.25,3.25,TRUE,4,1.66666666666667,1.66666666666667,3.5,24,3.75,2.75,2.5,3.5,3,4.5,3.75,4
"126",3,26,3.75,4,3.75,3.5,FALSE,1.5,1.66666666666667,1,1.5,0,3.5,3,5,2,3.25,3.25,4.25,2.75
"127",4,28,5,4.75,4.75,4.5,TRUE,4,2,1,3,0,2.5,2.5,5,4,2,3.75,3.75,1.75
"128",3.5,20,3.75,4.25,3.75,4,FALSE,3,2,1.33333333333333,1,20,3.75,3.5,4.5,4,2,3.75,4,3
"129",3.5,20,3.75,3.75,3,3.25,FALSE,3.5,1.66666666666667,1.66666666666667,4,19,3.75,4,4.5,3,2.25,3,3.25,1.25
"130",2,31,4.75,4,4.75,3.5,TRUE,4,2,1,3.5,30,3.75,4,2,5,1.25,1.75,4,2
"131",3.5,20,4.5,4.5,4.5,3.75,FALSE,5,2,1,4,22,2.75,2,4.5,5,1.25,2.5,3.5,2.5
"132",1.5,22,3.75,4,2.75,2.5,FALSE,2,2.33333333333333,1.33333333333333,3,16,3.5,2.5,2.5,4,2,3.75,2.75,2.75
"133",3,22,3.75,3,3,2.5,FALSE,2,2.33333333333333,1.33333333333333,1.5,16,4,2.75,4,3,2.75,3.5,3.5,4
"134",2.5,21,3.75,3.25,3.75,3.5,TRUE,3.5,2.66666666666667,2,3,19,2.75,2.75,3,3.5,2.75,4,4.25,3.25
"135",1,20,4.25,4.5,3.5,3,FALSE,3,1.66666666666667,1.33333333333333,1,0,3.5,2.75,3,4,2.75,4.75,3.75,3
"136",2,22,3.5,3.5,3.5,4,TRUE,5,1.66666666666667,1,4,30,4.75,4.25,2.5,4,2.5,2.75,2.25,2.5
"137",2,21,4.75,4.25,4.75,3.75,FALSE,4,2,1,1.5,23,3,2.25,3,5,1.75,4,3.5,2.75
"138",4,21,4.5,4.25,3.5,4,FALSE,3.5,2,1.33333333333333,1,19,3.5,2,5,3.5,3,4.25,4.25,2.75
"139",2.5,21,3.75,4.5,3.5,3.25,FALSE,2,1.66666666666667,1.33333333333333,4,18,4,2.5,3,3,2.75,4,4,2.25
"140",1.5,21,3.75,5,1,4.5,FALSE,5,2.33333333333333,1,3,28,4,4.25,3,5,4.25,2.25,3,1.25
"141",3,20,3.25,3.75,3.25,3.5,FALSE,4,2,1,1.5,21,4.25,2.5,4.5,3.5,2.5,2.75,3.75,2
"142",3.5,21,4,4,3.75,2.75,FALSE,4,1.33333333333333,1,1,19,2.5,3,5,4,3,3.5,3.75,4.25
"143",4,25,3.5,4.25,4,3.25,FALSE,4,1.66666666666667,1,1.5,27,4.25,4,4.5,4,1.75,2.5,4.25,2
"144",2.5,27,4.5,4,3.75,4.25,FALSE,3,2.66666666666667,1.33333333333333,3,0,3.5,2.5,3,2.5,2.75,2.25,2.25,3.25
"145",3,20,3.25,4,3,4,FALSE,3,1,1.33333333333333,3.5,0,3.75,4.5,3.5,3.5,3.75,3.75,4.5,4.25
"146",2.5,21,1.75,2.5,2,2,TRUE,3,2,1.33333333333333,2,24,3.5,3,3.5,4,4,5,5,4
"147",3,24,4.5,4.25,3.75,4,FALSE,4,1.66666666666667,1,2.5,21,3.25,2.5,4,4,2.75,3.25,4,2
"148",2,20,3.75,4.25,3.5,2.75,FALSE,2,2,1,4,20,3.5,2.25,3.5,2,2.5,3.25,4.5,3.25
"149",3,21,4,4.25,4,3.75,TRUE,4,4,4,2.5,28,2.25,2.5,3.5,4,2,3.75,4,2.25
"150",3,20,4,3.5,4,2.5,FALSE,3.5,2,1.33333333333333,1.5,12,4,3.75,5,2.5,2,2,3.5,2.5
"151",1,20,3.75,4,3.75,2.75,FALSE,1,3,2,1.5,21,2.75,1.5,2.5,2.5,2.75,2.75,2.5,2.5
"152",3.5,18,3.25,3.75,3.75,2.5,FALSE,4,2.33333333333333,1.66666666666667,4.5,28,4.25,3.75,3.5,4.5,1.5,2.5,3.75,2.75
"153",4,21,3.75,3.75,4.25,3.25,FALSE,3.5,2.66666666666667,1.66666666666667,4.5,31,4,2.5,4.5,4,2.75,2.5,3.5,2.75
"154",2,19,3.5,3.5,3.75,3.25,FALSE,4,2,1,5,18,3.25,2,2,4,3.75,3.75,4,2.5
"155",3,21,5,4.75,4,3,FALSE,4,2,1,3,25,3.25,2.25,4.5,3.5,4.75,2.75,4.75,3
"156",3.5,20,2.5,3.75,2.75,3.5,FALSE,2,2,2,2.5,19,4.25,3.75,5,4,2.25,3.25,3.5,2.75
"157",3,21,4.5,4.25,4,4.5,TRUE,4.5,1.33333333333333,1,4,21,3.25,2.75,2.5,4.5,1.5,2,4.75,2.5
"158",3,20,3.5,3.25,3.75,3,FALSE,3,3,1.66666666666667,3,16,3.75,3,4.5,4,2.5,3.5,3.5,2.5
"159",3.5,21,3.75,4.25,4,3.75,FALSE,5,2,1,4,7,4,3.75,4.5,5,3,5,4.75,2.5
"160",2.5,20,3.5,3.75,4.25,3.5,FALSE,3.5,2.33333333333333,2,2,21,4,2.5,3,5,2.5,2.75,4,2.25
"161",3.5,18,4.75,4.75,4.5,4,FALSE,4,2,1.33333333333333,3,17,4.25,2.5,4.5,5,3.5,3.5,3.5,2.5
"162",1.5,22,3.25,3.75,3.5,3.75,TRUE,3,2.33333333333333,2,3,22,4.25,4,1.5,3.5,2.5,4,5,2.75
"163",2,22,3.75,3.75,3.25,3.5,FALSE,2.5,2,1,3.5,18,3.75,3.25,2,4,2,3.5,4,3.25
"164",2,24,2.75,2.25,3.25,2.75,TRUE,3.5,2.66666666666667,1.33333333333333,4.5,25,2.75,1.25,2,3,3.25,4,3.5,2.25
"165",3,19,4.5,4,4.25,4,FALSE,4,1.33333333333333,1,3,24,3.5,3.75,3.5,4,2.25,2.75,4,2.5
"166",3.5,20,3,3.75,3.5,3,FALSE,3.5,1.66666666666667,1,4,23,4,2.75,4.5,3.5,3.5,4.25,5,3.75
"167",3,21,4.25,3.75,3.5,2.75,FALSE,2.5,3.66666666666667,4.33333333333333,2.5,0,2.75,1.75,4.5,4,3.25,2.25,3.25,3
"168",2,20,4.25,4.5,4,4.25,FALSE,2,2.33333333333333,1,4,23,2.5,1.75,3,3,3.25,1.75,2.25,1.75
"169",3.5,17,5,3.5,3.5,3.25,FALSE,2.5,2.33333333333333,1,2,26,4.5,4.75,5,1.5,3.25,2.25,3.75,4.75
"170",3.5,19,3.5,2,3.5,2.5,TRUE,3,3,3,1,12,3,2,5,3,3,4.75,5,3.5
"171",3.5,23,4.25,4,4.5,2.5,FALSE,4,2,1,3.5,0,2.25,1.75,4,4,2,1.75,2.25,1.5
"172",1.5,20,2.75,3.25,3,3.25,FALSE,3,1.66666666666667,1.33333333333333,4.5,32,3.5,2.25,2.5,4,3,4,3.75,2
"173",3,20,4.25,3.75,2.5,3.25,FALSE,2,1.66666666666667,1,4,22,3,2.5,4.5,3,2,3.5,2,2.25
"174",2.5,25,3.75,4.5,4,4,FALSE,5,2.66666666666667,1.33333333333333,4,0,4,2.75,2,3.5,2.25,3.75,3.75,2.25
"175",4,20,5,4,3.25,3.5,FALSE,3,2,1,2,20,4,4,5,2,2.75,3.75,3.5,3.5
"176",1.5,20,4,4.75,3.25,3.75,FALSE,4,2,1,3,21,3.5,1.25,3.5,4,2.75,3.25,3.5,2.5
"177",3,19,2.25,4,3.5,3.5,FALSE,1,2,1.33333333333333,2.5,23,4.25,3.5,5,4,2,3.25,4,3.75
"178",3.5,19,4.25,4.25,3.75,3.75,FALSE,2,2,1,1,20,4,2.75,5,4,2.5,3.25,3.75,2.75
"179",2.5,22,2.75,3,3.25,3,FALSE,4,2.66666666666667,1.66666666666667,4.5,28,2,1.5,1.5,4,3,3.75,4,2.75
"180",3,35,4,4,3.75,3.5,TRUE,5,3,2,5,31,3.5,2.5,3,4,2.75,3,3,2.5
"181",4,18,2.75,3.75,4.5,3,FALSE,4.5,2,1.33333333333333,4,18,3.5,1.75,4,5,4,3.75,4,2.5
"182",2.5,19,3.25,4,3.5,3,FALSE,4,2,1.33333333333333,4,30,3,2.25,3,3.5,2.25,3.5,4.75,3.25
"183",3,21,4.25,3.5,4,4.5,TRUE,1,2,1,2.5,19,3.5,3.25,5,3,2.75,3.5,4,1.75
